Temps,Vitesse
17.3333,1.42524
17.35,1.42307
17.3667,1.4209
17.3833,1.41873
17.4,1.41657
17.4167,1.41442
17.4333,1.41226
17.45,1.41012
17.4667,1.40797
17.4833,1.40583
17.5,1.40369
17.5167,1.40156
17.5333,1.39943
17.55,1.3973
17.5667,1.39518
17.5833,1.39306
17.6,1.39094
17.6167,1.38883
17.6333,1.38672
17.65,1.38461
17.6667,1.38251
17.6833,1.38041
17.7,1.37832
17.7167,1.37623
17.7333,1.37414
17.75,1.37206
17.7667,1.36998
17.7833,1.3679
17.8,1.36583
17.8167,1.36376
17.8333,1.36169
17.85,1.35963
17.8667,1.35757
17.8833,1.35551
17.9,1.35346
17.9167,1.35141
17.9333,1.34936
17.95,1.34732
17.9667,1.34528
17.9833,1.34325
18,1.34122
18.0167,1.33919
18.0333,1.33716
18.05,1.33514
18.0667,1.33313
18.0833,1.33111
18.1,1.3291
18.1167,1.32709
18.1333,1.32509
18.15,1.32309
18.1667,1.32109
18.1833,1.3191
18.2,1.3171
18.2167,1.31512
18.2333,1.31313
18.25,1.31115
18.2667,1.30917
18.2833,1.3072
18.3,1.30523
18.3167,1.30326
18.3333,1.3013
18.35,1.29934
18.3667,1.29738
18.3833,1.29543
18.4,1.29347
18.4167,1.29153
18.4333,1.28958
18.45,1.28764
18.4667,1.2857
18.4833,1.28377
18.5,1.28184
18.5167,1.27991
18.5333,1.27798
18.55,1.27606
18.5667,1.27414
18.5833,1.27223
18.6,1.27032
18.6167,1.26841
18.6333,1.2665
18.65,1.2646
18.6667,1.2627
18.6833,1.2608
18.7,1.25891
18.7167,1.25702
18.7333,1.25513
18.75,1.25325
18.7667,1.25137
18.7833,1.24949
18.8,1.24762
18.8167,1.24575
18.8333,1.24388
18.85,1.24202
18.8667,1.24015
18.8833,1.23829
18.9,1.23644
18.9167,1.23459
18.9333,1.23274
18.95,1.23089
18.9667,1.22905
18.9833,1.22721
19,1.22537
19.0167,1.22354
19.0333,1.22171
19.05,1.21988
19.0667,1.21805
19.0833,1.21623
19.1,1.21441
19.1167,1.2126
19.1333,1.21078
19.15,1.20897
19.1667,1.20717
19.1833,1.20536
19.2,1.20356
19.2167,1.20176
19.2333,1.19997
19.25,1.19818
19.2667,1.19639
19.2833,1.1946
19.3,1.19282
19.3167,1.19104
19.3333,1.18926
19.35,1.18749
19.3667,1.18572
19.3833,1.18395
19.4,1.18218
19.4167,1.18042
19.4333,1.17866
19.45,1.1769
19.4667,1.17515
19.4833,1.1734
19.5,1.17165
19.5167,1.1699
19.5333,1.16816
19.55,1.16642
19.5667,1.16469
19.5833,1.16295
19.6,1.16122
19.6167,1.15949
19.6333,1.15777
19.65,1.15605
19.6667,1.15433
19.6833,1.15261
19.7,1.1509
19.7167,1.14918
19.7333,1.14748
19.75,1.14577
19.7667,1.14407
19.7833,1.14237
19.8,1.14067
19.8167,1.13898
19.8333,1.13728
19.85,1.1356
19.8667,1.13391
19.8833,1.13223
19.9,1.13055
19.9167,1.12887
19.9333,1.12719
19.95,1.12552
19.9667,1.12385
19.9833,1.12218
20,1.12052
20.0167,1.11886
20.0333,1.1172
20.05,1.11554
20.0667,1.11389
20.0833,1.11224
20.1,1.11059
20.1167,1.10895
20.1333,1.1073
20.15,1.10566
20.1667,1.10403
20.1833,1.10239
20.2,1.10076
20.2167,1.09913
20.2333,1.0975
20.25,1.09588
20.2667,1.09426
20.2833,1.09264
20.3,1.09102
20.3167,1.08941
20.3333,1.0878
20.35,1.08619
20.3667,1.08459
20.3833,1.08298
20.4,1.08138
20.4167,1.07979
20.4333,1.07819
20.45,1.0766
20.4667,1.07501
20.4833,1.07342
20.5,1.07184
20.5167,1.07025
20.5333,1.06867
20.55,1.0671
20.5667,1.06552
20.5833,1.06395
20.6,1.06238
20.6167,1.06081
20.6333,1.05925
20.65,1.05769
20.6667,1.05613
20.6833,1.05457
20.7,1.05302
20.7167,1.05146
20.7333,1.04992
20.75,1.04837
20.7667,1.04682
20.7833,1.04528
20.8,1.04374
20.8167,1.04221
20.8333,1.04067
20.85,1.03914
20.8667,1.03761
20.8833,1.03608
20.9,1.03456
20.9167,1.03304
20.9333,1.03152
20.95,1.03
20.9667,1.02848
20.9833,1.02697
21,1.02546
21.0167,1.02395
21.0333,1.02245
21.05,1.02095
21.0667,1.01945
21.0833,1.01795
21.1,1.01645
21.1167,1.01496
21.1333,1.01347
21.15,1.01198
21.1667,1.0105
21.1833,1.00901
21.2,1.00753
21.2167,1.00605
21.2333,1.00458
21.25,1.0031
21.2667,1.00163
21.2833,1.00016
21.3,0.998694
21.3167,0.99723
21.3333,0.995768
21.35,0.994308
21.3667,0.99285
21.3833,0.991395
21.4,0.989942
21.4167,0.988491
21.4333,0.987043
21.45,0.985597
21.4667,0.984153
21.4833,0.982712
21.5,0.981273
21.5167,0.979836
21.5333,0.978402
21.55,0.97697
21.5667,0.97554
21.5833,0.974112
21.6,0.972687
21.6167,0.971264
21.6333,0.969843
21.65,0.968424
21.6667,0.967008
21.6833,0.965594
21.7,0.964182
21.7167,0.962773
21.7333,0.961366
21.75,0.959961
21.7667,0.958558
21.7833,0.957157
21.8,0.955759
21.8167,0.954363
21.8333,0.952969
21.85,0.951577
21.8667,0.950188
21.8833,0.9488
21.9,0.947415
21.9167,0.946032
21.9333,0.944652
21.95,0.943273
21.9667,0.941897
21.9833,0.940523
22,0.939151
22.0167,0.937781
22.0333,0.936413
22.05,0.935048
22.0667,0.933684
22.0833,0.932323
22.1,0.930964
