Temps (s);Vitesse angulaire (rad/s)
10,274929;7,242587
10,283262;7,240692
10,291595;7,2387977
10,299929;7,236904
10,308262;7,235011
10,316595;7,2331185
10,324928;7,2312264
10,3332615;7,229335
10,341595;7,2274437
10,349928;7,225553
10,358261;7,223663
10,366594;7,221773
10,3749275;7,219884
10,383261;7,217995
10,391594;7,216107
10,399927;7,214219
10,40826;7,212332
10,416594;7,210445
10,424927;7,2085586
10,43326;7,2066727
10,441593;7,2047873
10,449926;7,2029023
10,45826;7,201018
10,466593;7,199134
10,474926;7,1972504
10,483259;7,1953673
10,491592;7,193485
10,499926;7,1916027
10,508259;7,189721
10,516592;7,18784
10,524925;7,1859593
10,533258;7,1840796
10,541592;7,1822004
10,549925;7,1803217
10,558258;7,1784434
10,566591;7,1765656
10,574924;7,1746883
10,583258;7,1728115
10,591591;7,170935
10,599924;7,1690593
10,608257;7,167184
10,6165905;7,165309
10,624924;7,1634345
10,633257;7,1615605
10,64159;7,159687
10,649923;7,157814
10,658257;7,1559415
10,66659;7,1540694
10,674923;7,152198
10,683256;7,1503267
10,691589;7,148456
10,699923;7,146586
10,708256;7,1447163
10,716589;7,142847
10,724922;7,1409783
10,733255;7,13911
10,741589;7,1372423
10,749922;7,135375
10,758255;7,133508
10,766588;7,131642
10,774921;7,129776
10,783255;7,1279106
